servico,id_validador,latitude,longitude,data,estado_equipamento,primeiro_datetime_gps,ultimo_datetime_gps,qtde_min_entre_a_prim_e_ultima_transmissao,qtde_min_distintos_houve_transmissao,qtde_registros_gps,qtde_registros_gps_georreferenciados,percentual_registros_gps_georreferenciados,percentual_transmissao_a_cada_min
TBTIG,B5AT020D00600831,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:53.444194,2026-04-26 00:04:53.602311,5,5,5,0,0.0,1.0
TEIG,B35T020D00209794,-22.89892684,-43.21157998,2026-04-26,FECHADO,2026-04-26 00:00:31.458195,2026-04-26 00:04:31.333179,5,5,5,5,1.0,1.0
TEIG,B35T020D00207356,-22.89888111,-43.21156026,2026-04-26,FECHADO,2026-04-26 00:00:24.444099,2026-04-26 00:04:24.595419,5,5,5,5,1.0,1.0
TEIG,B35T020D00206122,-22.89891142,-43.21154424,2026-04-26,FECHADO,2026-04-26 00:00:29.263756,2026-04-26 00:04:29.321015,5,5,5,5,1.0,1.0
TEIG,B5AT020D00600523,-22.898837,-43.21149898,2026-04-26,FECHADO,2026-04-26 00:00:22.764663,2026-04-26 00:04:22.788249,5,5,5,5,1.0,1.0
TEIG,B5AT020D00600056,-22.89891235,-43.21148952,2026-04-26,FECHADO,2026-04-26 00:00:05.324242,2026-04-26 00:04:05.263206,5,5,5,5,1.0,1.0
TEIG,B35T020D00209795,-22.89887433,-43.21148449,2026-04-26,FECHADO,2026-04-26 00:00:08.996948,2026-04-26 00:04:08.903077,5,5,5,5,1.0,1.0
TEIG,B5AT020D00600134,-22.89889387,-43.21147481,2026-04-26,FECHADO,2026-04-26 00:00:14.718559,2026-04-26 00:04:14.731066,5,5,5,5,1.0,1.0
TEIG,B5AT020D00600717,-22.898903,-43.21147295,2026-04-26,FECHADO,2026-04-26 00:00:22.058999,2026-04-26 00:04:22.071119,5,5,5,5,1.0,1.0
TEIG,B5AT020D00600161,-22.89886925,-43.21144697,2026-04-26,FECHADO,2026-04-26 00:00:47.365804,2026-04-26 00:04:47.324573,5,5,5,5,1.0,1.0
TEIG,B5AT020D00600051,-22.89879975,-43.21144504,2026-04-26,FECHADO,2026-04-26 00:00:15.673543,2026-04-26 00:04:15.632596,5,5,5,5,1.0,1.0
TEIG,B35T020D00207355,-22.89889028,-43.21144211,2026-04-26,FECHADO,2026-04-26 00:00:18.174325,2026-04-26 00:04:18.036143,5,5,5,5,1.0,1.0
TEIG,B35T020D00209203,-22.8988911,-43.21143515,2026-04-26,FECHADO,2026-04-26 00:00:24.722172,2026-04-26 00:04:24.741845,5,5,5,5,1.0,1.0
TEIG,B5AT020D00600132,-22.89942635,-43.19976189,2026-04-26,ABERTO,2026-04-26 00:00:18.180527,2026-04-26 00:04:18.029445,5,5,5,5,1.0,1.0
TEIG,B5AT020D00600135,-22.89937739,-43.19975834,2026-04-26,ABERTO,2026-04-26 00:00:53.224649,2026-04-26 00:04:53.36977,5,5,5,5,1.0,1.0
TERDV,B35T020D00208498,-22.89882104,-43.20753889,2026-04-26,ABERTO,2026-04-26 00:00:10.464494,2026-04-26 00:04:10.282727,5,5,5,5,1.0,1.0
TERDV,B35T020D00209928,-22.89882686,-43.20747564,2026-04-26,ABERTO,2026-04-26 00:00:42.012044,2026-04-26 00:04:41.751669,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00202913,-22.89890297,-43.20011016,2026-04-26,ABERTO,2026-04-26 00:00:41.63246,2026-04-26 00:04:41.754221,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00209241,-22.89871421,-43.20001891,2026-04-26,ABERTO,2026-04-26 00:00:54.254793,2026-04-26 00:04:54.550489,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00205839,-22.89892143,-43.19998973,2026-04-26,ABERTO,2026-04-26 00:00:45.759902,2026-04-26 00:04:45.946029,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00209305,-22.8986826,-43.19996496,2026-04-26,ABERTO,2026-04-26 00:00:42.597719,2026-04-26 00:04:42.746365,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00208455,-22.89872494,-43.19995598,2026-04-26,ABERTO,2026-04-26 00:00:59.279939,2026-04-26 00:04:59.672086,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00203891,-22.89875607,-43.19992829,2026-04-26,ABERTO,2026-04-26 00:00:51.657696,2026-04-26 00:04:52.006551,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00202324,-22.89881606,-43.19988878,2026-04-26,ABERTO,2026-04-26 00:00:52.955109,2026-04-26 00:04:53.093974,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00206247,-22.89875812,-43.19986806,2026-04-26,ABERTO,2026-04-26 00:00:45.798747,2026-04-26 00:04:46.15673,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00203268,-22.89917403,-43.19983586,2026-04-26,ABERTO,2026-04-26 00:00:50.670869,2026-04-26 00:04:50.776512,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00208499,-22.89844715,-43.19980551,2026-04-26,ABERTO,2026-04-26 00:00:46.081718,2026-04-26 00:04:46.450943,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00201153,-22.89864165,-43.1997909,2026-04-26,ABERTO,2026-04-26 00:00:48.230463,2026-04-26 00:04:48.656323,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00203934,-22.89902867,-43.19976676,2026-04-26,ABERTO,2026-04-26 00:00:51.254421,2026-04-26 00:04:51.684086,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00207644,-22.89881226,-43.19975967,2026-04-26,ABERTO,2026-04-26 00:00:48.869946,2026-04-26 00:04:48.843571,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00207095,-22.89880255,-43.1997585,2026-04-26,ABERTO,2026-04-26 00:00:44.37836,2026-04-26 00:04:44.571335,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00210005,-22.89838667,-43.19971185,2026-04-26,ABERTO,2026-04-26 00:00:53.491878,2026-04-26 00:04:53.658322,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00206161,-22.89842294,-43.19965906,2026-04-26,ABERTO,2026-04-26 00:00:46.432277,2026-04-26 00:04:46.414765,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00203265,-22.89881754,-43.19964327,2026-04-26,ABERTO,2026-04-26 00:00:53.881094,2026-04-26 00:04:53.988624,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00208868,-22.89842116,-43.19962709,2026-04-26,ABERTO,2026-04-26 00:00:48.036559,2026-04-26 00:04:48.049153,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00209934,-22.89836353,-43.19960689,2026-04-26,ABERTO,2026-04-26 00:00:53.290704,2026-04-26 00:04:53.49924,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00208770,-22.89871886,-43.19957332,2026-04-26,ABERTO,2026-04-26 00:00:50.363299,2026-04-26 00:04:50.714809,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00205500,-22.89866708,-43.1995599,2026-04-26,ABERTO,2026-04-26 00:00:34.692472,2026-04-26 00:04:34.634375,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00210606,-22.89956712,-43.19952082,2026-04-26,ABERTO,2026-04-26 00:00:56.815674,2026-04-26 00:04:56.970849,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00209306,-22.89872753,-43.1994919,2026-04-26,ABERTO,2026-04-26 00:00:50.015181,2026-04-26 00:04:50.113719,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00205144,-22.90031035,-43.19947052,2026-04-26,ABERTO,2026-04-26 00:00:50.050491,2026-04-26 00:04:50.175871,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00208359,-22.89874593,-43.19943924,2026-04-26,ABERTO,2026-04-26 00:00:45.537052,2026-04-26 00:04:45.690087,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00209380,-22.8987086,-43.1994233,2026-04-26,ABERTO,2026-04-26 00:00:45.69967,2026-04-26 00:04:45.598946,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00206013,-22.89909726,-43.1993986,2026-04-26,ABERTO,2026-04-26 00:00:56.12646,2026-04-26 00:04:56.370514,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00208973,-22.89836828,-43.19939018,2026-04-26,ABERTO,2026-04-26 00:00:44.339019,2026-04-26 00:04:44.307883,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00210611,-22.89934608,-43.19937201,2026-04-26,ABERTO,2026-04-26 00:00:55.42784,2026-04-26 00:04:55.576704,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00201172,-22.89892691,-43.19933479,2026-04-26,ABERTO,2026-04-26 00:00:49.914587,2026-04-26 00:04:50.076095,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00208721,-22.89882217,-43.19933003,2026-04-26,ABERTO,2026-04-26 00:00:53.341461,2026-04-26 00:04:53.47022,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00209848,-22.89948392,-43.19932001,2026-04-26,ABERTO,2026-04-26 00:00:49.980442,2026-04-26 00:04:50.044568,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00201240,-22.89950955,-43.19931821,2026-04-26,ABERTO,2026-04-26 00:00:59.483182,2026-04-26 00:04:59.535117,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00209844,-22.89925973,-43.1992819,2026-04-26,ABERTO,2026-04-26 00:00:48.772081,2026-04-26 00:04:48.922642,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00209291,-22.8993641,-43.19923946,2026-04-26,ABERTO,2026-04-26 00:00:53.431065,2026-04-26 00:04:53.580029,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00209530,-22.89969997,-43.19922633,2026-04-26,ABERTO,2026-04-26 00:00:55.271886,2026-04-26 00:04:55.433484,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00203883,-22.90013922,-43.19921813,2026-04-26,ABERTO,2026-04-26 00:00:49.047201,2026-04-26 00:04:49.012061,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00208076,-22.89947883,-43.19921812,2026-04-26,ABERTO,2026-04-26 00:00:48.542033,2026-04-26 00:04:48.748583,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00207359,-22.8991202,-43.1992026,2026-04-26,ABERTO,2026-04-26 00:00:48.764493,2026-04-26 00:04:48.984551,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00210010,-22.8994547,-43.19919908,2026-04-26,ABERTO,2026-04-26 00:00:45.52031,2026-04-26 00:04:45.679199,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00205948,-22.8993772,-43.19917097,2026-04-26,ABERTO,2026-04-26 00:00:50.619077,2026-04-26 00:04:50.727105,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00208361,-22.89955623,-43.19916494,2026-04-26,ABERTO,2026-04-26 00:00:48.725908,2026-04-26 00:04:48.869036,5,5,5,5,1.0,1.0
