Dia,Hora,HBV,Chuva,DirVento,VelVento,Temperatura,Pressao,Umidade,datetime
01/01/2025,00:05:00,,0.0,224,5.6,23.6,1008.3,100,2025-01-01 00:05:00
01/01/2025,00:10:00,,0.0,223,3.2,23.7,1008.3,100,2025-01-01 00:10:00
01/01/2025,00:15:00,,0.0,223,2.8,23.8,1008.2,100,2025-01-01 00:15:00
01/01/2025,00:20:00,,0.0,223,2.8,23.8,1008.6,100,2025-01-01 00:20:00
01/01/2025,00:25:00,,0.0,222,1.1,23.8,1008.3,100,2025-01-01 00:25:00
01/01/2025,00:30:00,,0.0,222,1.8,23.7,1008.3,100,2025-01-01 00:30:00
01/01/2025,00:35:00,,0.0,-,0.0,23.5,1008.0,100,2025-01-01 00:35:00
01/01/2025,00:40:00,,0.0,222,1.8,23.7,1008.3,100,2025-01-01 00:40:00
01/01/2025,00:45:00,,0.0,221,5.3,23.5,1008.1,100,2025-01-01 00:45:00
01/01/2025,00:50:00,,0.0,222,4.9,23.5,1008.0,100,2025-01-01 00:50:00
01/01/2025,00:55:00,,0.0,222,3.5,23.5,1008.0,100,2025-01-01 00:55:00
01/01/2025,01:00:00,,0.0,222,3.2,23.5,1007.8,100,2025-01-01 01:00:00
01/01/2025,01:05:00,,0.0,222,2.1,23.5,1007.8,100,2025-01-01 01:05:00
01/01/2025,01:10:00,,0.0,223,3.5,23.5,1007.6,100,2025-01-01 01:10:00
01/01/2025,01:15:00,,0.0,221,5.6,23.6,1007.7,100,2025-01-01 01:15:00
01/01/2025,01:20:00,,0.0,222,2.5,23.6,1007.6,100,2025-01-01 01:20:00
01/01/2025,01:25:00,,0.0,222,1.8,23.5,1007.1,100,2025-01-01 01:25:00
01/01/2025,01:30:00,,0.0,222,0.4,23.4,1007.6,100,2025-01-01 01:30:00
01/01/2025,01:35:00,,0.0,223,3.2,23.4,1007.1,100,2025-01-01 01:35:00
01/01/2025,01:40:00,,0.0,223,3.2,23.5,1007.1,100,2025-01-01 01:40:00
01/01/2025,01:45:00,,0.0,222,2.5,23.4,1007.2,100,2025-01-01 01:45:00
01/01/2025,01:50:00,,0.0,222,2.8,23.5,1007.1,100,2025-01-01 01:50:00
01/01/2025,01:55:00,,0.0,222,6.7,23.5,1007.0,100,2025-01-01 01:55:00
01/01/2025,02:00:00,,0.0,221,4.2,23.5,1006.7,100,2025-01-01 02:00:00
01/01/2025,02:05:00,,0.0,220,7.1,23.5,1006.7,100,2025-01-01 02:05:00
01/01/2025,02:10:00,,0.0,221,4.9,23.6,1006.9,100,2025-01-01 02:10:00
01/01/2025,02:15:00,,0.0,219,9.5,23.6,1007.1,100,2025-01-01 02:15:00
01/01/2025,02:20:00,,0.0,221,2.5,23.7,1007.0,100,2025-01-01 02:20:00
01/01/2025,02:25:00,,0.0,221,2.8,23.6,1007.0,100,2025-01-01 02:25:00
01/01/2025,02:30:00,,0.0,221,8.8,23.7,1007.1,100,2025-01-01 02:30:00
01/01/2025,02:35:00,,0.0,221,7.1,23.7,1007.0,100,2025-01-01 02:35:00
01/01/2025,02:40:00,,0.0,222,4.9,23.7,1006.7,100,2025-01-01 02:40:00
01/01/2025,02:45:00,,0.0,222,4.2,23.7,1006.9,100,2025-01-01 02:45:00
01/01/2025,02:50:00,,0.0,223,4.6,23.8,1006.6,100,2025-01-01 02:50:00
01/01/2025,02:55:00,,0.0,222,5.6,23.6,1006.7,100,2025-01-01 02:55:00
01/01/2025,03:00:00,,0.0,223,3.2,23.7,1006.7,100,2025-01-01 03:00:00
01/01/2025,03:05:00,,0.0,222,1.8,23.7,1006.9,100,2025-01-01 03:05:00
01/01/2025,03:10:00,,0.0,223,1.1,23.7,1006.7,100,2025-01-01 03:10:00
01/01/2025,03:15:00,,0.0,221,2.1,23.8,1006.5,100,2025-01-01 03:15:00
01/01/2025,03:20:00,,0.0,222,1.1,23.5,1006.7,100,2025-01-01 03:20:00
01/01/2025,03:25:00,,0.0,-,0.0,23.2,1006.7,100,2025-01-01 03:25:00
01/01/2025,03:30:00,,0.0,-,0.0,23.2,1006.7,100,2025-01-01 03:30:00
01/01/2025,03:35:00,,0.0,-,0.0,23.3,1006.9,100,2025-01-01 03:35:00
01/01/2025,03:40:00,,0.0,-,0.0,23.4,1006.7,100,2025-01-01 03:40:00
01/01/2025,03:45:00,,0.0,222,1.8,23.1,1006.5,100,2025-01-01 03:45:00
01/01/2025,03:50:00,,0.0,222,2.1,23.2,1006.5,100,2025-01-01 03:50:00
01/01/2025,03:55:00,,0.0,221,1.4,23.0,1006.5,100,2025-01-01 03:55:00
01/01/2025,04:00:00,,0.0,221,0.7,23.1,1006.2,100,2025-01-01 04:00:00
01/01/2025,04:05:00,,0.0,221,1.8,23.1,1006.5,100,2025-01-01 04:05:00
01/01/2025,04:10:00,,0.0,-,0.0,22.9,1006.5,100,2025-01-01 04:10:00
01/01/2025,04:15:00,,0.0,220,2.5,23.1,1006.5,100,2025-01-01 04:15:00
01/01/2025,04:20:00,,0.0,220,3.2,23.1,1006.5,100,2025-01-01 04:20:00
01/01/2025,04:25:00,,0.0,220,2.5,23.1,1006.5,100,2025-01-01 04:25:00
01/01/2025,04:30:00,,0.0,220,2.5,23.1,1006.5,100,2025-01-01 04:30:00
01/01/2025,04:35:00,,0.0,220,2.5,23.2,1006.5,100,2025-01-01 04:35:00
01/01/2025,04:40:00,,0.0,220,4.6,23.1,1006.5,100,2025-01-01 04:40:00
01/01/2025,04:45:00,,0.0,220,3.2,23.1,1006.7,100,2025-01-01 04:45:00
01/01/2025,04:50:00,,0.0,220,1.8,22.8,1006.7,100,2025-01-01 04:50:00
01/01/2025,04:55:00,,0.0,221,4.2,22.6,1006.9,100,2025-01-01 04:55:00
01/01/2025,05:00:00,,0.0,221,2.1,22.8,1006.9,100,2025-01-01 05:00:00
01/01/2025,05:05:00,,0.0,222,3.5,22.7,1006.7,100,2025-01-01 05:05:00
01/01/2025,05:10:00,,0.0,246,2.5,22.9,1007.0,100,2025-01-01 05:10:00
01/01/2025,05:15:00,,0.0,241,3.2,22.8,1007.0,100,2025-01-01 05:15:00
01/01/2025,05:20:00,,0.0,243,2.5,22.8,1007.0,100,2025-01-01 05:20:00
01/01/2025,05:25:00,,0.0,242,3.9,22.6,1007.0,100,2025-01-01 05:25:00
01/01/2025,05:30:00,,0.0,-,0.0,22.7,1007.0,100,2025-01-01 05:30:00
01/01/2025,05:35:00,,0.0,241,1.1,22.8,1007.0,100,2025-01-01 05:35:00
01/01/2025,05:40:00,,0.0,242,1.1,22.6,1007.0,100,2025-01-01 05:40:00
01/01/2025,05:45:00,,0.0,241,2.8,22.5,1007.2,100,2025-01-01 05:45:00
01/01/2025,05:50:00,,0.0,241,2.8,22.9,1007.2,100,2025-01-01 05:50:00
01/01/2025,05:55:00,,0.0,241,1.4,22.9,1007.2,100,2025-01-01 05:55:00
01/01/2025,06:00:00,,0.0,241,1.1,22.8,1007.2,100,2025-01-01 06:00:00
01/01/2025,06:05:00,,0.0,241,0.7,22.8,1007.5,100,2025-01-01 06:05:00
01/01/2025,06:10:00,,0.0,241,1.1,22.9,1007.5,100,2025-01-01 06:10:00
01/01/2025,06:15:00,,0.0,241,2.8,23.2,1007.6,100,2025-01-01 06:15:00
01/01/2025,06:20:00,,0.0,242,2.8,23.3,1007.7,100,2025-01-01 06:20:00
01/01/2025,06:25:00,,0.0,243,1.4,23.4,1007.7,100,2025-01-01 06:25:00
01/01/2025,06:30:00,,0.0,248,2.8,23.7,1007.5,100,2025-01-01 06:30:00
01/01/2025,06:35:00,,0.0,254,1.1,23.8,1007.5,100,2025-01-01 06:35:00
01/01/2025,06:40:00,,0.0,263,2.8,23.7,1007.8,100,2025-01-01 06:40:00
01/01/2025,06:45:00,,0.0,281,1.4,23.8,1007.8,100,2025-01-01 06:45:00
01/01/2025,06:50:00,,0.0,314,3.2,24.1,1007.8,100,2025-01-01 06:50:00
01/01/2025,06:55:00,,0.0,-,0.0,24.5,1007.7,100,2025-01-01 06:55:00
01/01/2025,07:00:00,,0.0,329,1.1,24.6,1007.8,100,2025-01-01 07:00:00
01/01/2025,07:05:00,,0.0,357,1.8,24.9,1008.0,100,2025-01-01 07:05:00
01/01/2025,07:10:00,,0.0,-,0.0,25.3,1008.1,100,2025-01-01 07:10:00
01/01/2025,07:15:00,,0.0,357,0.7,26.0,1008.1,100,2025-01-01 07:15:00
01/01/2025,07:20:00,,0.0,-,0.0,26.3,1008.0,100,2025-01-01 07:20:00
01/01/2025,07:25:00,,0.0,344,1.4,26.6,1008.1,100,2025-01-01 07:25:00
01/01/2025,07:30:00,,0.0,344,3.5,26.1,1008.0,100,2025-01-01 07:30:00
01/01/2025,07:35:00,,0.0,343,2.8,26.1,1008.3,100,2025-01-01 07:35:00
01/01/2025,07:40:00,,0.0,343,3.9,26.1,1008.1,100,2025-01-01 07:40:00
01/01/2025,07:45:00,,0.0,343,3.9,25.8,1008.1,100,2025-01-01 07:45:00
01/01/2025,07:50:00,,0.0,340,4.2,26.1,1008.3,100,2025-01-01 07:50:00
01/01/2025,07:55:00,,0.0,340,4.6,25.8,1008.3,100,2025-01-01 07:55:00
01/01/2025,08:00:00,,0.0,341,6.7,26.0,1008.3,100,2025-01-01 08:00:00
01/01/2025,08:05:00,,0.0,339,6.0,26.0,1008.6,100,2025-01-01 08:05:00
01/01/2025,08:10:00,,0.0,339,3.9,25.8,1008.3,100,2025-01-01 08:10:00
01/01/2025,08:15:00,,0.0,339,4.6,26.0,1008.6,100,2025-01-01 08:15:00
01/01/2025,08:20:00,,0.0,338,5.6,26.4,1008.6,100,2025-01-01 08:20:00
01/01/2025,08:25:00,,0.0,337,5.3,26.5,1008.3,100,2025-01-01 08:25:00
01/01/2025,08:30:00,,0.0,338,6.7,27.1,1008.3,100,2025-01-01 08:30:00
01/01/2025,08:35:00,,0.0,337,4.6,26.9,1008.6,100,2025-01-01 08:35:00
01/01/2025,08:40:00,,0.0,338,5.6,26.8,1008.4,100,2025-01-01 08:40:00
01/01/2025,08:45:00,,0.0,338,7.4,26.6,1008.6,100,2025-01-01 08:45:00
01/01/2025,08:50:00,,0.0,339,6.4,27.0,1008.4,100,2025-01-01 08:50:00
