id_consorcio,consorcio,modo,cnpj,razao_social,id_consorcio_stu,id_consorcio_jae,id_processo
10,Condomínio,,,,,10,
2,VLT,VLT,,,,2,
9,STPC,Van,,,,9,
12,Barcas,,,,,12,
13,TEC,,,,,13,
16,MOBI-Rio BUM,,,,,16,
7,Sem consórcio,,,,,7,
8,STPL,Van,,,,8,
11,Belford Roxo,,,,,11,
14,METRÔ,,,,,14,
221000014,Transcarioca,Ônibus,12464553000184,CONSORCIO TRANSCARIOCA DE TRANSPORTES,221000014,6,030030212010
221000023,Intersul,Ônibus,12464869000176,CONSORCIO INTERSUL DE TRANSPORTES,221000023,4,030030192010
221000032,Internorte,Ônibus,12464539000180,CONSORCIO INTERNORTE DE TRANSPORTES,221000032,3,030030182010
221000041,Santa Cruz,Ônibus,12464577000133,CONSORCIO SANTA CRUZ DE TRANSPORTES,221000041,5,030030202010
221000050,Consórcio BRT,BRT,16566504000103,CONSORCIO OPERACIONAL BRT,221000050,,030027942013
229000010,MobiRio,BRT,44520687000161,COMPANHIA MUNICIPAL DE TRANSPORTES COLETIVOS,229000010,1,990051432024
