servico,id_validador,latitude,longitude,data,estado_equipamento,primeiro_datetime_gps,ultimo_datetime_gps,qtde_min_entre_a_prim_e_ultima_transmissao,qtde_min_distintos_houve_transmissao,qtde_registros_gps,qtde_registros_gps_georreferenciados,percentual_registros_gps_georreferenciados,percentual_transmissao_a_cada_min
67,B35T020D00200374,-22.84893279,-43.39687748,2026-04-26,FECHADO,2026-04-26 00:00:01.287907,2026-04-26 00:00:01.287907,1,1,1,1,1.0,1.0
TOTAL,B35T020D00200648,-22.97316475,-43.38377628,2026-04-26,ABERTO,2026-04-26 00:00:43.557466,2026-04-26 00:02:43.513079,3,3,3,3,1.0,1.0
TOGMA,B35T020D00200428,-23.01716269,-43.4774425,2026-04-26,ABERTO,2026-04-26 00:00:09.027234,2026-04-26 00:03:09.150771,4,4,4,4,1.0,1.0
TOGMA,B35T020D00200247,-23.01712608,-43.4776665,2026-04-26,ABERTO,2026-04-26 00:00:44.537807,2026-04-26 00:04:44.475498,5,4,4,4,1.0,0.8
TOSAL,B35T020D00200160,-23.00841708,-43.44356054,2026-04-26,ABERTO,2026-04-26 00:00:11.706889,2026-04-26 00:04:11.542988,5,4,4,4,1.0,0.8
TOJOC,B35T020D00200167,-23.00662344,-43.31266924,2026-04-26,ABERTO,2026-04-26 00:00:52.994543,2026-04-26 00:04:53.186559,5,4,4,4,1.0,0.8
TOJOC,B35T020D00200361,-23.00649228,-43.31265057,2026-04-26,ABERTO,2026-04-26 00:00:23.401505,2026-04-26 00:04:23.381935,5,4,4,4,1.0,0.8
TOJOC,B35T020D00200169,-23.00647258,-43.31263468,2026-04-26,ABERTO,2026-04-26 00:00:26.435739,2026-04-26 00:04:25.918754,5,4,4,4,1.0,0.8
TOTAL,B35T020D00200002,-23.00123191,-43.36598726,2026-04-26,ABERTO,2026-04-26 00:00:35.569259,2026-04-26 00:04:35.168646,5,4,4,4,1.0,0.8
TOTAL,B35T020D00200512,-23.00121354,-43.36590761,2026-04-26,ABERTO,2026-04-26 00:00:28.779433,2026-04-26 00:04:28.577418,5,4,4,4,1.0,0.8
TOAFC,B35T020D00200638,-23.00055628,-43.33465154,2026-04-26,ABERTO,2026-04-26 00:00:08.001533,2026-04-26 00:04:07.851746,5,4,4,4,1.0,0.8
TCRJ2,B35T020D00200534,-22.97328338,-43.38362695,2026-04-26,ABERTO,2026-04-26 00:00:35.32395,2026-04-26 00:04:35.227452,5,4,4,4,1.0,0.8
