operadora,id_validador,latitude,longitude,data,estado_equipamento,primeiro_datetime_gps,ultimo_datetime_gps,qtde_min_entre_a_prim_e_ultima_transmissao,qtde_min_distintos_houve_transmissao,qtde_registros_gps,qtde_registros_gps_georreferenciados,percentual_registros_gps_georreferenciados,percentual_transmissao_a_cada_min
CITY RIO ROTAS TURISTICAS LTDA,B35T020D00202175,-22.83780099,-43.28496573,2026-04-26,FECHADO,2026-04-26 00:00:01.126531,2026-04-26 00:04:01.197523,5,5,5,5,1.0,1.0
CITY RIO ROTAS TURISTICAS LTDA,B35T020D00204935,-22.83649267,-43.28571198,2026-04-26,FECHADO,2026-04-26 00:00:00.126985,2026-04-26 00:04:00.017346,5,5,5,5,1.0,1.0
CITY RIO ROTAS TURISTICAS LTDA,B35T020D00207037,-22.83638493,-43.28571753,2026-04-26,FECHADO,2026-04-26 00:00:13.989783,2026-04-26 00:04:13.625286,5,5,5,5,1.0,1.0
CITY RIO ROTAS TURISTICAS LTDA,B35T020D00201761,-22.83715328,-43.28493642,2026-04-26,FECHADO,2026-04-26 00:00:31.879626,2026-04-26 00:04:32.048613,5,5,5,5,1.0,1.0
CITY RIO ROTAS TURISTICAS LTDA,B35T020D00202807,-22.83671607,-43.28572922,2026-04-26,FECHADO,2026-04-26 00:00:49.664117,2026-04-26 00:04:49.78502,5,5,5,5,1.0,1.0
CITY RIO ROTAS TURISTICAS LTDA,B35T020D00206689,-22.83654179,-43.28573816,2026-04-26,FECHADO,2026-04-26 00:00:30.482733,2026-04-26 00:04:30.498696,5,5,5,5,1.0,1.0
CITY RIO ROTAS TURISTICAS LTDA,B35T020D00207422,-22.83719708,-43.28491886,2026-04-26,FECHADO,2026-04-26 00:00:17.959995,2026-04-26 00:04:17.349271,5,5,5,5,1.0,1.0
CITY RIO ROTAS TURISTICAS LTDA,B35T020D00207902,-22.83688031,-43.28567717,2026-04-26,FECHADO,2026-04-26 00:00:52.282149,2026-04-26 00:04:52.566305,5,5,5,5,1.0,1.0
CITY RIO ROTAS TURISTICAS LTDA,B35T020D00209692,-22.83614973,-43.28570126,2026-04-26,FECHADO,2026-04-26 00:00:04.877373,2026-04-26 00:04:04.53611,5,5,5,5,1.0,1.0
CITY RIO ROTAS TURISTICAS LTDA,B35T020D00201393,-22.83701346,-43.28624849,2026-04-26,FECHADO,2026-04-26 00:00:44.093394,2026-04-26 00:04:44.006306,5,5,5,5,1.0,1.0
CITY RIO ROTAS TURISTICAS LTDA,B4CT020D00400005,-22.83694161,-43.2862194,2026-04-26,FECHADO,2026-04-26 00:00:24.280154,2026-04-26 00:04:24.161088,5,5,5,5,1.0,1.0
