id_operadora,id_validador,data,estado_equipamento,primeiro_datetime_gps,ultimo_datetime_gps,qtde_min_entre_a_prim_e_ultima_transmissao,qtde_min_distintos_houve_transmissao,qtde_registros_gps,qtde_registros_gps_georreferenciados,percentual_registros_gps_georreferenciados,percentual_transmissao_a_cada_min
465036211,B35T020D00202103,2026-04-26,ABERTO,2026-04-26 00:00:50.485361,2026-04-26 00:04:50.523112,5,5,5,5,1.0,1.0
810017872,B35T020D00208199,2026-04-26,ABERTO,2026-04-26 00:00:17.038059,2026-04-26 00:04:16.847336,5,5,5,5,1.0,1.0
810013445,B35T020D00210628,2026-04-26,ABERTO,2026-04-26 00:00:48.782737,2026-04-26 00:04:48.842233,5,5,5,5,1.0,1.0
810017720,B35T020D00203288,2026-04-26,ABERTO,2026-04-26 00:00:33.003712,2026-04-26 00:04:32.762489,5,5,5,5,1.0,1.0
810014864,B35T020D00201409,2026-04-26,ABERTO,2026-04-26 00:00:01.10633,2026-04-26 00:04:01.050587,5,5,5,5,1.0,1.0
810016596,B35T020D00205585,2026-04-26,ABERTO,2026-04-26 00:00:54.310156,2026-04-26 00:04:54.342352,5,5,5,5,1.0,1.0
463181474,B5AT020D00600527,2026-04-26,ABERTO,2026-04-26 00:00:18.507427,2026-04-26 00:04:18.503948,5,5,5,0,0.0,1.0
463706721,B35T020D00207276,2026-04-26,ABERTO,2026-04-26 00:00:22.003442,2026-04-26 00:04:21.985454,5,5,5,5,1.0,1.0
810013454,B35T020D00206142,2026-04-26,ABERTO,2026-04-26 00:00:47.743101,2026-04-26 00:04:47.890976,5,5,5,5,1.0,1.0
810018592,B35T020D00203190,2026-04-26,ABERTO,2026-04-26 00:00:30.6183,2026-04-26 00:04:30.36382,5,5,5,5,1.0,1.0
463625466,B35T020D00202393,2026-04-26,ABERTO,2026-04-26 00:00:03.325813,2026-04-26 00:04:03.103636,5,5,5,5,1.0,1.0
810001402,B35T020D00210551,2026-04-26,ABERTO,2026-04-26 00:00:48.356777,2026-04-26 00:04:48.625893,5,5,5,5,1.0,1.0
810005705,B35T020D00204528,2026-04-26,ABERTO,2026-04-26 00:00:31.677138,2026-04-26 00:04:31.093358,5,5,5,0,0.0,1.0
810020739,B35T020D00206837,2026-04-26,ABERTO,2026-04-26 00:00:43.48235,2026-04-26 00:04:43.347225,5,5,5,5,1.0,1.0
810010437,B35T020D00210403,2026-04-26,ABERTO,2026-04-26 00:00:42.133152,2026-04-26 00:04:42.002017,5,5,5,5,1.0,1.0
810008625,B35T020D00207158,2026-04-26,ABERTO,2026-04-26 00:00:57.429512,2026-04-26 00:04:57.55109,5,5,5,5,1.0,1.0
810019197,B35T020D00201779,2026-04-26,ABERTO,2026-04-26 00:00:12.882953,2026-04-26 00:04:12.82099,5,5,5,5,1.0,1.0
