id_recurso,data,datetime_captura,datetime_recurso,datetime_update,consorcio,servico,sentido,data_viagem,numero_relatorio_cimu,julgamento,motivo_julgamento,observacao_julgamento,data_julgamento
SMTR202403001209,2024-03-10,2024-07-22 00:00:00,2024-03-10 22:12:31,2024-07-21 11:07:19,Internorte,483,I,2024-03-10,37356,Deferido,Foi apresentado o Relatório do CIMU e foi contabilizada a diferença entre o apurado pelo algoritmo e a média histórica. (Res. SMTR 3521/2022) ,Aceito pelo CIMU.,2024-07-16 11:01:20
SMTR202403001210,2024-03-10,2024-07-22 00:00:00,2024-03-10 22:13:33,2024-07-21 11:07:19,Internorte,483,V,2024-03-10,37356,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202403001209",2024-07-16 11:01:26
SMTR202403001213,2024-03-10,2024-07-22 00:00:00,2024-03-10 22:20:15,2024-07-21 11:07:20,Internorte,497,V,2024-03-10,37359,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202403001212",2024-07-16 11:01:50
SMTR202403001212,2024-03-10,2024-07-22 00:00:00,2024-03-10 22:18:59,2024-07-21 11:07:20,Internorte,497,V,2024-03-10,37358,Deferido,Foi apresentado o Relatório do CIMU e foi contabilizada a diferença entre o apurado pelo algoritmo e a média histórica. (Res. SMTR 3521/2022) ,Aceito pelo CIMU.,2024-07-16 11:01:42
SMTR202403001211,2024-03-10,2024-07-22 00:00:00,2024-03-10 22:15:52,2024-07-21 11:07:20,Internorte,SV483,I,2024-03-10,37357,Deferido,Foi apresentado o Relatório do CIMU e foi contabilizada a diferença entre o apurado pelo algoritmo e a média histórica. (Res. SMTR 3521/2022) ,Aceito pelo CIMU.,2024-07-16 11:01:34
SMTR202403004718,2024-03-27,2024-07-22 00:00:00,2024-03-27 13:33:48,2024-07-21 11:17:07,Internorte,906,I,2024-03-26,38834,Deferido,Foi apresentado o Relatório do CIMU e foi contabilizada a diferença entre o apurado pelo algoritmo e a média histórica. (Res. SMTR 3521/2022) ,Aceito pelo CIMU.,2024-07-16 11:15:56
SMTR202403004642,2024-03-27,2024-07-22 00:00:00,2024-03-27 08:25:50,2024-07-21 11:17:06,Internorte,SN457,I,2024-03-26,38847,Deferido,Foi apresentado o Relatório do CIMU e foi contabilizada a diferença entre o apurado pelo algoritmo e a média histórica. (Res. SMTR 3521/2022) ,Aceito pelo CIMU.,2024-07-16 11:15:32
SMTR202403004723,2024-03-27,2024-07-22 00:00:00,2024-03-27 13:37:08,2024-07-21 11:17:07,Internorte,906,I,2024-03-26,38835,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202403004718",2024-07-16 11:16:05
SMTR202403004727,2024-03-27,2024-07-22 00:00:00,2024-03-27 13:38:57,2024-07-21 11:17:08,Internorte,906,V,2024-03-26,38835,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202403004718",2024-07-16 11:16:16
SMTR202403004695,2024-03-27,2024-07-22 00:00:00,2024-03-27 11:14:12,2024-07-21 11:17:06,Internorte,SN457,V,2024-03-26,38879,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202403004642",2024-07-16 11:15:40
SMTR202403004661,2024-03-27,2024-07-11 00:00:00,2024-03-27 10:20:13,2024-07-10 03:13:46,Internorte,908,V,2024-02-27,36443,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202403003948",2024-05-16 19:00:20
SMTR202403004677,2024-03-27,2024-07-11 00:00:00,2024-03-27 10:31:07,2024-07-10 03:13:47,Internorte,908,V,2024-02-27,36443,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202403003948",2024-05-16 19:00:33
